# Started logging at 2018-11-29T11:47:27.051759
time, face index, event
0, -1, wait
# Started logging at 2018-11-29T11:48:08.185427
# Started logging at 2018-11-29T11:48:08.185427
time, face index, event
time, face index, event
0, -1, wait
0, -1, wait
1, 83, delamination
1, 83, delamination
1, 24, delamination
1, 24, delamination
2, 11, delamination
2, 11, delamination
2, 83, delamination
2, 83, delamination
2, 22, delamination
2, 22, delamination
2, 26, delamination
2, 26, delamination
2, 24, delamination
2, 24, delamination
3, 147, delamination
3, 147, delamination
3, 2, delamination
3, 2, delamination
3, 83, delamination
3, 83, delamination
3, 11, delamination
3, 11, delamination
3, 22, delamination
3, 22, delamination
3, 26, delamination
3, 26, delamination
3, 24, delamination
3, 24, delamination
4, 26, delamination
4, 26, delamination
4, 83, delamination
4, 83, delamination
4, 24, delamination
4, 24, delamination
4, 11, delamination
4, 11, delamination
4, 22, delamination
4, 22, delamination
4, 2, delamination
4, 2, delamination
4, 147, delamination
4, 147, delamination
5, 26, delamination
5, 26, delamination
5, 24, delamination
5, 24, delamination
5, 147, delamination
5, 147, delamination
5, 2, delamination
5, 2, delamination
5, 11, delamination
5, 11, delamination
5, 22, delamination
5, 22, delamination
5, 83, delamination
5, 83, delamination
6, 22, delamination
6, 22, delamination
6, 26, delamination
6, 26, delamination
6, 24, delamination
6, 24, delamination
6, 10, delamination
6, 10, delamination
6, 147, delamination
6, 147, delamination
6, 11, delamination
6, 11, delamination
6, 145, delamination
6, 145, delamination
6, 83, delamination
6, 83, delamination
6, 2, delamination
6, 2, delamination
7, 103, delamination
7, 103, delamination
7, 145, delamination
7, 145, delamination
7, 147, delamination
7, 147, delamination
7, 10, delamination
7, 10, delamination
7, 83, delamination
7, 83, delamination
7, 2, delamination
7, 2, delamination
7, 11, delamination
7, 11, delamination
7, 24, delamination
7, 24, delamination
7, 26, delamination
7, 26, delamination
7, 22, delamination
7, 22, delamination
8, 146, delamination
8, 146, delamination
8, 26, delamination
8, 26, delamination
8, 2, delamination
8, 2, delamination
8, 11, delamination
8, 11, delamination
8, 103, delamination
8, 103, delamination
8, 10, delamination
8, 10, delamination
8, 24, delamination
8, 24, delamination
8, 22, delamination
8, 22, delamination
8, 145, delamination
8, 145, delamination
8, 83, delamination
8, 83, delamination
8, 147, delamination
8, 147, delamination
9, 2, delamination
9, 2, delamination
9, 24, delamination
9, 24, delamination
9, 146, delamination
9, 146, delamination
9, 83, delamination
9, 83, delamination
9, 103, delamination
9, 103, delamination
9, 147, delamination
9, 147, delamination
9, 10, delamination
9, 10, delamination
9, 11, delamination
9, 11, delamination
9, 22, delamination
9, 22, delamination
9, 26, delamination
9, 26, delamination
9, 145, delamination
9, 145, delamination
9, 20, delamination
9, 20, delamination
10, 146, delamination
10, 146, delamination
10, 147, delamination
10, 147, delamination
10, 103, delamination
10, 103, delamination
10, 26, delamination
10, 26, delamination
10, 83, delamination
10, 83, delamination
10, 11, delamination
10, 11, delamination
10, 24, delamination
10, 24, delamination
10, 2, delamination
10, 2, delamination
10, 145, delamination
10, 145, delamination
10, 20, delamination
10, 20, delamination
10, 10, delamination
10, 10, delamination
10, 22, delamination
10, 22, delamination
10, 102, delamination
10, 102, delamination
11, 20, delamination
11, 20, delamination
11, 40, delamination
11, 40, delamination
11, 2, delamination
11, 2, delamination
11, 147, delamination
11, 147, delamination
11, 102, delamination
11, 102, delamination
11, 146, delamination
11, 146, delamination
11, 83, delamination
11, 83, delamination
11, 24, delamination
11, 24, delamination
11, 22, delamination
11, 22, delamination
11, 11, delamination
11, 11, delamination
11, 145, delamination
11, 145, delamination
11, 10, delamination
11, 10, delamination
11, 26, delamination
11, 26, delamination
11, 103, delamination
11, 103, delamination
12, 102, delamination
12, 102, delamination
12, 147, delamination
12, 147, delamination
12, 40, delamination
12, 40, delamination
12, 11, delamination
12, 11, delamination
12, 26, delamination
12, 26, delamination
12, 20, delamination
12, 20, delamination
12, 10, delamination
12, 10, delamination
12, 83, delamination
12, 83, delamination
12, 2, delamination
12, 2, delamination
12, 103, delamination
12, 103, delamination
12, 145, delamination
12, 145, delamination
12, 22, delamination
12, 22, delamination
12, 24, delamination
12, 24, delamination
12, 146, delamination
12, 146, delamination
12, 25, delamination
12, 25, delamination
13, 145, delamination
13, 145, delamination
13, 83, delamination
13, 83, delamination
13, 11, delamination
13, 11, delamination
13, 2, delamination
13, 2, delamination
13, 102, delamination
13, 102, delamination
13, 22, delamination
13, 22, delamination
13, 103, delamination
13, 103, delamination
13, 25, delamination
13, 25, delamination
13, 26, delamination
13, 26, delamination
13, 146, delamination
13, 146, delamination
13, 40, delamination
13, 40, delamination
13, 147, delamination
13, 147, delamination
13, 20, delamination
13, 20, delamination
13, 24, delamination
13, 24, delamination
13, 10, delamination
13, 10, delamination
14, 24, delamination
14, 24, delamination
14, 22, delamination
14, 22, delamination
14, 147, delamination
14, 147, delamination
14, 2, delamination
14, 2, delamination
14, 11, delamination
14, 11, delamination
14, 26, delamination
14, 26, delamination
14, 20, delamination
14, 20, delamination
14, 40, delamination
14, 40, delamination
14, 10, delamination
14, 10, delamination
14, 102, delamination
14, 102, delamination
14, 103, delamination
14, 103, delamination
14, 25, delamination
14, 25, delamination
14, 145, delamination
14, 145, delamination
14, 146, delamination
14, 146, delamination
15, 40, delamination
15, 40, delamination
